t0=0.0,x0=0.1,vx0=0.0,y0=0.0,vy0=0.1
t,x,vx,y,vy
0.000000,0.100000,0.000000,0.000000,0.100000
0.001000,0.100000,0.001005,0.000100,0.100000
0.002000,0.100001,0.002010,0.000200,0.099990
0.003000,0.100003,0.003015,0.000300,0.099970
0.004000,0.100006,0.004020,0.000400,0.099940
0.005000,0.100010,0.005024,0.000500,0.099900
0.006000,0.100015,0.006028,0.000600,0.099850
0.007000,0.100021,0.007031,0.000700,0.099790
0.008000,0.100028,0.008034,0.000800,0.099720
0.009000,0.100036,0.009037,0.000900,0.099640
0.010000,0.100045,0.010038,0.000999,0.099550
0.011000,0.100055,0.011038,0.001099,0.099450
0.012000,0.100066,0.012038,0.001198,0.099341
0.013000,0.100078,0.013036,0.001298,0.099221
0.014000,0.100091,0.014033,0.001397,0.099091
0.015000,0.100105,0.015029,0.001496,0.098951
0.016000,0.100120,0.016024,0.001595,0.098802
0.017000,0.100137,0.017017,0.001694,0.098642
0.018000,0.100154,0.018008,0.001793,0.098473
0.019000,0.100172,0.018998,0.001891,0.098294
0.020000,0.100191,0.019986,0.001990,0.098105
0.021000,0.100211,0.020972,0.002088,0.097906
0.022000,0.100232,0.021955,0.002186,0.097697
0.023000,0.100254,0.022937,0.002283,0.097479
0.024000,0.100276,0.023917,0.002381,0.097251
0.025000,0.100300,0.024894,0.002478,0.097013
0.026000,0.100325,0.025869,0.002575,0.096765
0.027000,0.100351,0.026842,0.002672,0.096508
0.028000,0.100378,0.027812,0.002769,0.096241
0.029000,0.100406,0.028779,0.002865,0.095964
0.030000,0.100435,0.029743,0.002961,0.095677
0.031000,0.100464,0.030705,0.003057,0.095382
0.032000,0.100495,0.031664,0.003152,0.095076
0.033000,0.100527,0.032619,0.003247,0.094761
0.034000,0.100559,0.033571,0.003342,0.094436
0.035000,0.100593,0.034520,0.003437,0.094102
0.036000,0.100628,0.035466,0.003531,0.093759
0.037000,0.100663,0.036409,0.003625,0.093406
0.038000,0.100699,0.037347,0.003718,0.093044
0.039000,0.100737,0.038282,0.003811,0.092672
0.040000,0.100775,0.039214,0.003904,0.092291
0.041000,0.100814,0.040141,0.003996,0.091901
0.042000,0.100855,0.041065,0.004088,0.091502
